,name,album,artist,release_date,duration,popularity,id,kmeans-2clusters
1,"Another Brick in the Wall, Pt. 2",The Wall,Pink Floyd,1979-11-30,238746,76,4gMgiXfqyzZLMhsksGmbQV,0
2,Wish You Were Here,Echoes: The Best of Pink Floyd,Pink Floyd,2001-11-06,321080,44,6iMjntVYkchLBJcqsiSNYZ,0
3,Kashmir - 1990 Remaster,Physical Graffiti (1994 Remaster),Led Zeppelin,1975-02-24,508200,1,2nVHqZbOGkKWzlcy1aMbE7,0
13,When A Blind Man Cries - Remastered,Machine Head (Remastered),Deep Purple,1972-03-25,209246,58,0JtcFIgrkSagrM5JdFakeO,0
14,Dream On,Aerosmith,Aerosmith,1973-01-05,266960,80,5MxNLUsfh7uzROypsoO5qe,0
16,Wind Of Change,Crazy World,Scorpions,1990-01-01,313226,0,6wjSNO6uJYlgbbfauyWhiw,0
22,Black Velvet - Unplugged,Songs from the Heart: Best 80's & 90's Power Ballads,Red Illusions,2015-05-20,249000,31,1AbPQ8XXBDlPI7SQOf5PU1,0
32,Stairway to Heaven - Remaster,Led Zeppelin IV (Deluxe Edition),Led Zeppelin,1971-11-08,482830,80,5CQ30WqJwcep0pYcV4AMNc,0
33,Starman - 2012 Remaster,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),David Bowie,1972-06-06,254293,75,0pQskrTITgmCMyr85tb9qq,0
42,Living Next Door to Alice,The Original Smokie Gold,Smokie,1975,207693,53,4a8ZMNLB75047bY2I7oABt,0
43,Sailing,Atlantic Crossing,Rod Stewart,1975,277960,67,6OuRbvP4PgbuzBIapVzmFJ,0
44,Imagine - Remastered 2010,Imagine,John Lennon,1971-09-09,187866,76,7pKfPomDEeI4TPT6EOYjn9,0
45,Whiskey In The Jar,Shades Of A Blue Orphanage,Thin Lizzy,1972,345186,65,2uLx3Gka9TGCz9Zgu7Uwav,0
48,Let It Be - Remastered 2009,Let It Be (Remastered),The Beatles,1970-05-08,243026,77,7iN1s7xHE4ifF5povM6A48,0
54,Dust in the Wind,Point Of Know Return (Expanded Edition),Kansas,1977,206266,77,6zeE5tKyr8Nu882DQhhSQI,0
58,"Take Me Home, Country Roads",The Essential John Denver,John Denver,2007-02-27,190040,0,5LV3AJZ7KOKCpoou8kny79,0
61,Brothers In Arms,Brothers In Arms,Dire Straits,1985-05-13,424000,3,0CzeAbfKFnxnWjwo5iYiCG,0
63,Heaven For Everyone - Remastered 2011,Made In Heaven (2011 Remaster),Queen,1995-11-06,336160,59,3Klfd4rsRO53fYpxmdQmYV,0
64,Purple Rain,Purple Rain,Prince,1984-06-25,520786,75,54X78diSLoUDI3joC2bjMz,0
65,Wish You Were Here - 2011 Remastered Version,Wish You Were Here (2011 Remastered Version),Pink Floyd,1975-09-12,334743,0,5MVrZa7cDtnAoMvCgRAMqb,0
66,Comfortably Numb - 2011 Remastered Version,The Wall (Remastered),Pink Floyd,1979-11-30,379213,67,7Fg4jpwpkdkGCvq1rrXnvx,0
78,The Temple Of The King,Ritchie Blackmore's Rainbow,Rainbow,1975-01-01,282013,64,0gaMmmhGi5buPXpquSAfxg,0
82,Across the Universe,Comeblack,Scorpions,2011-11-04,197613,44,0EOo4bO2Oiido5FnB7mVFN,0
86,Come Together - Remastered,Abbey Road (Remastered),The Beatles,1969-09-26,259946,0,0MKqeOVdZcUFGJvWpGCKbG,0
87,Yesterday - Remastered,Help! (Remastered),The Beatles,1965-08-06,125666,0,1e0hllQ23AG0QGFgezgLOq,0
89,Black Velvet,Alannah Myles,Alannah Myles,1989-03-14,287440,72,1KU5EHSz04JhGg3rReGJ0N,0
90,100 Years Ago,Goats Head Soup,The Rolling Stones,1973-08-31,239040,32,0QkA9199IRH8RA9A5tnhfM,0
101,"Take Me Home, Country Roads","The John Denver Collection, Vol 1: Take Me Home Country Roads",John Denver,1997-06-17,197813,7,39q7xibBdRboeMKUbZEB6g,0
102,Everywhere - 2017 Remaster,Tango In the Night (Deluxe Edition),Fleetwood Mac,1987-04-13,226653,78,254bXAqt3zP6P50BdQvEsq,0
104,More Than Words,Extreme II - Pornograffitti,Extreme,1990-01-01,334040,50,2SbsvihBJmgNKZ4qkXFWrp,0
109,Big in Japan,Forever Young,Alphaville,1984-09-27,286160,65,3BZGi1yUqQyCNC868AqUGG,0
111,Wonderful Life,Wonderful Life,Black,1987-01-01,287933,70,0IWtEFQBwRHaMXZQtGEVcM,0
115,Running Up That Hill (A Deal With God),Hounds Of Love,Kate Bush,1985,298933,96,75FEaRjZTKLhTrFGsfMUXR,0
117,Space Oddity - 2015 Remaster,David Bowie (aka Space Oddity) [2015 Remaster],David Bowie,1969-11-04,318026,72,72Z17vmmeQKAg8bptWvpVG,0
118,The Man Who Sold The World - ChangesNowBowie Version,ChangesNowBowie,David Bowie,2020-08-28,241813,34,0uLKtWsxyodrknEWOPeSaP,0
120,The Temple Of The King,Ritchie Blackmore's Rainbow (Remastered),Rainbow,1975-01-01,282013,0,6Z435tBPT5JamUR9dN7y8y,0
