,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,kmeans-2clusters
1,0.394,0.247,104.114,0.0428,0.0782,0.000694,0.693,238747,-15.882,0.721,0
2,0.318,0.376,121.633,0.0509,0.739,0.000528,0.501,321080,-13.753,0.285,0
3,0.536,0.155,80.617,0.0427,0.488,4.22e-05,0.48,508200,-11.166,0.581,0
13,0.274,0.0724,64.21,0.0363,0.843,0.0165,0.52,209246,-10.661,0.222,0
14,0.433,0.332,160.9,0.029,0.388,9.08e-05,0.307,266960,-10.057,0.224,0
16,0.543,0.0928,151.362,0.0366,0.297,0.0,0.453,313227,-10.106,0.282,0
22,0.344,0.357,92.121,0.0355,0.429,5.34e-05,0.485,249000,-8.408,0.392,0
32,0.34,0.116,82.433,0.0339,0.58,0.0032,0.338,482830,-12.049,0.197,0
33,0.449,0.54,100.456,0.0267,0.166,2.23e-06,0.486,254293,-10.298,0.549,0
42,0.396,0.248,126.091,0.0371,0.107,0.0,0.591,207693,-14.753,0.781,0
43,0.374,0.316,128.56,0.0292,0.372,0.379,0.43,277960,-9.949,0.191,0
44,0.257,0.0935,75.752,0.0252,0.907,0.183,0.547,187867,-12.358,0.169,0
45,0.693,0.196,127.531,0.0445,0.531,0.00141,0.557,345187,-11.044,0.747,0
48,0.403,0.111,143.462,0.0322,0.631,0.0,0.443,243027,-8.339,0.41,0
54,0.322,0.11,93.503,0.0283,0.367,0.00056,0.475,206267,-10.687,0.387,0
58,0.383,0.127,82.026,0.0263,0.715,0.0,0.456,190040,-9.516,0.67,0
61,0.296,0.183,79.273,0.0277,0.531,0.801,0.413,424000,-13.904,0.144,0
63,0.425,0.167,110.208,0.0288,0.29,1.34e-06,0.593,336160,-9.775,0.268,0
64,0.452,0.689,113.066,0.0307,0.0353,0.00228,0.367,520787,-10.422,0.189,0
65,0.262,0.832,122.883,0.0414,0.735,0.0114,0.481,334744,-15.73,0.375,0
66,0.309,0.134,127.155,0.0299,0.153,0.22,0.479,379213,-14.751,0.182,0
78,0.487,0.0648,81.972,0.0341,0.445,1.44e-05,0.486,282013,-11.633,0.373,0
82,0.372,0.143,165.915,0.0298,0.699,0.0,0.427,197613,-7.477,0.281,0
86,0.376,0.0926,165.007,0.0393,0.0302,0.248,0.533,259947,-11.913,0.187,0
87,0.179,0.0886,96.529,0.0326,0.879,0.0,0.332,125667,-11.83,0.315,0
89,0.366,0.106,91.147,0.0312,0.273,9.04e-05,0.754,287440,-10.07,0.469,0
90,0.642,0.53,105.139,0.0352,0.586,0.619,0.4,239040,-9.39,0.604,0
101,0.43,0.188,164.267,0.0322,0.546,1.87e-05,0.255,197813,-12.564,0.546,0
102,0.487,0.0852,114.965,0.0303,0.258,0.01,0.73,226653,-10.991,0.731,0
104,0.127,0.114,91.625,0.0306,0.452,0.0,0.623,334040,-14.935,0.237,0
109,0.414,0.336,97.646,0.0405,0.069,0.0671,0.748,286160,-15.15,0.239,0
111,0.521,0.214,106.055,0.0302,0.705,0.36,0.72,287933,-12.468,0.823,0
115,0.547,0.0604,108.375,0.055,0.72,0.00314,0.629,298933,-13.123,0.197,0
117,0.403,0.139,134.48,0.0326,0.0726,9.27e-05,0.31,318027,-13.664,0.466,0
118,0.383,0.196,109.129,0.0316,0.0264,0.000243,0.636,241813,-11.946,0.49,0
120,0.487,0.0648,81.972,0.0341,0.445,1.44e-05,0.486,282013,-11.633,0.373,0
